Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Grant Line/Fabian/Bell Canals nr Old R.,7/20/1994,852,90.6143213,SouthDelta,C,38
Old River North of Rock Slough (St 4b),5/22/1991,613,90.63835999,OMR,C,19
Rock Slough @ Old River,5/22/1991,596,90.63835999,OMR,C,19
Grant Line/Fabian/Bell Canals nr Old R.,5/22/1991,479,90.63835999,SouthDelta,C,22
Middle River at Bacon Island Bridge,7/8/1991,414,90.66370954,OMR,C,16
Old River North of Rock Slough (St 4b),9/3/1992,930,90.77667797,OMR,C,18
Rock Slough @ Old River,9/3/1992,933,90.77667797,OMR,C,17
Grant Line/Fabian/Bell Canals nr Old R.,9/3/1992,956,90.77667797,SouthDelta,C,48
Contra Costa PP Number 01,10/13/1994,569,90.78710967,OMR,W,12
Middle River at Bacon Island Bridge,9/24/1990,368,90.82305445,OMR,C,18
Clifton Court Intake,9/24/1990,504,90.82305445,OMR,C,16
Clifton Court Intake,6/25/1992,724,90.85817896,OMR,C,22
Middle River at Bacon Island Bridge,6/25/1992,564,90.85817896,OMR,C,19
SAN JOAQUIN R A BRANDT BR        ,1/12/2010,928,91.08275529,SJRcorridor,BN,47
San Joaquin River @ Mossdale Bridge - C7A,1/12/2010,1008,91.08275529,SJRcorridor,BN,47
Old River South of Rock Slough (St 5A),10/22/1985,639,91.1066811,OMR,W,15
Old River near Rock Slough,8/4/1959,1580,91.1135463,OMR,BN,24
Old River near Rock Slough,8/4/1959,1380,91.1135463,OMR,BN,22
Clifton Court Intake,5/21/1991,527,91.14886705,OMR,C,25
Contra Costa PP Number 01,5/21/1991,537,91.14886705,OMR,C,19
Middle River at Bacon Island Bridge,5/21/1991,359,91.14886705,OMR,C,19
Middle River at Bacon Island Bridge,8/5/1991,415,91.32485805,OMR,C,15
San Joaquin River @ Mossdale Bridge - C7A,3/2/1989,1370,91.3346382,SJRcorridor,D,69
Grant Ln Can @ Tracy Rd Bdg,3/2/1989,1430,91.3346382,SouthDelta,D,74
Old River nr Tracy,3/2/1989,1410,91.3346382,SouthDelta,D,65
Middle R @ Tracy Rd Bdg,3/2/1989,506,91.3346382,SouthDelta,D,23
Old River near Rock Slough,6/19/1959,327,91.43818578,OMR,BN,19
Old River near Rock Slough,6/19/1959,318,91.43818578,OMR,BN,19
Rock Slough @ Old River,10/1/1990,618,91.47315676,OMR,C,18
Old River North of Rock Slough (St 4b),10/1/1990,613,91.47315676,OMR,C,17
Grant Line/Fabian/Bell Canals nr Old R.,10/1/1990,595,91.47315676,SouthDelta,C,27
