Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Br
Rock Slough @ Old River,10/20/1994,636,92.73586707,OMR,W,0.41
Contra Costa PP Number 01,11/9/1994,988,92.63852791,OMR,W,0.52
San Joaquin River @ Mossdale Bridge - C7A,11/17/1994,796,91.53716312,SJRcorridor,W,0.41
Contra Costa PP Number 01,12/13/1994,814,82.54298007,OMR,W,0.57
San Joaquin River @ Mossdale Bridge - C7A,12/20/1994,946,81.11970496,SJRcorridor,W,0.42
Contra Costa PP Number 01,1/17/1995,709,46.35508675,OMR,W,0.35
San Joaquin River @ Mossdale Bridge - C7A,1/26/1995,383,53.05662006,SJRcorridor,W,0.08
Contra Costa PP Number 01,2/6/1995,533,48.45038827,OMR,W,0.14
San Joaquin River @ Mossdale Bridge - C7A,2/16/1995,487,49.77058978,SJRcorridor,W,0.13
Contra Costa PP Number 01,3/13/1995,322,37.53111646,OMR,W,0.08
San Joaquin River @ Mossdale Bridge - C7A,3/20/1995,301,35.26878783,SJRcorridor,W,0.05
Contra Costa PP Number 01,4/10/1995,635,50.51772825,OMR,W,0.22
San Joaquin River @ Mossdale Bridge - C7A,4/24/1995,184,55.06228913,SJRcorridor,W,0.1
Contra Costa PP Number 01,5/10/1995,307,49.34111805,OMR,W,0.09
San Joaquin River @ Mossdale Bridge - C7A,5/18/1995,143,50.95156216,SJRcorridor,W,0.03
Contra Costa PP Number 01,6/14/1995,214,58.38588799,OMR,W,0.07
San Joaquin River @ Mossdale Bridge - C7A,6/22/1995,240,57.6171137,SJRcorridor,W,0.08
Contra Costa PP Number 01,7/12/1995,146,65.49822638,OMR,W,0.04
San Joaquin River @ Mossdale Bridge - C7A,7/20/1995,218,58.74876866,SJRcorridor,W,0.06
Contra Costa PP Number 01,8/9/1995,150,68.77947219,OMR,W,0.03
San Joaquin River @ Mossdale Bridge - C7A,8/17/1995,633,74.57233985,SJRcorridor,W,0.23
Contra Costa PP Number 01,9/6/1995,187,67.21706163,OMR,W,0.04
San Joaquin River @ Mossdale Bridge - C7A,9/14/1995,387,67.19233682,SJRcorridor,W,0.13
Contra Costa PP Number 01,10/11/1995,193,69.40952731,OMR,W,0.04
San Joaquin River @ Mossdale Bridge - C7A,10/19/1995,202,74.05131326,SJRcorridor,W,0.06
Contra Costa PP Number 01,11/8/1995,200,81.20170079,OMR,W,0.04
San Joaquin River @ Mossdale Bridge - C7A,11/16/1995,750,79.55759468,SJRcorridor,W,0.31
Contra Costa PP Number 01,12/6/1995,213,79.32528838,OMR,W,0.05
San Joaquin River @ Mossdale Bridge - C7A,12/7/1995,746,79.94458802,SJRcorridor,W,0.32
Contra Costa PP Number 01,1/10/1996,303,68.97868863,OMR,W,0.08
San Joaquin River @ Mossdale Bridge - C7A,1/18/1996,946,81.11891586,SJRcorridor,W,0.37
Contra Costa PP Number 01,2/8/1996,397,47.52751567,OMR,W,0.12
San Joaquin River @ Mossdale Bridge - C7A,2/15/1996,290,53.64428507,SJRcorridor,W,0.08
Contra Costa PP Number 01,3/7/1996,898,46.46251523,OMR,W,0.34
San Joaquin River @ Mossdale Bridge - C7A,3/14/1996,253,48.94207006,SJRcorridor,W,0.06
Contra Costa PP Number 01,4/4/1996,554,58.29157662,OMR,W,0.18
San Joaquin River @ Mossdale Bridge - C7A,4/11/1996,413,53.46132043,SJRcorridor,W,0.13
Contra Costa PP Number 01,5/2/1996,516,66.95278638,OMR,W,0.18
San Joaquin River @ Mossdale Bridge - C7A,5/9/1996,336,62.32099718,SJRcorridor,W,0.11
Contra Costa PP Number 01,6/6/1996,277,61.33562885,OMR,W,0.08
San Joaquin River @ Mossdale Bridge - C7A,6/13/1996,592,65.4871296,SJRcorridor,W,0.24
Contra Costa PP Number 01,7/11/1996,175,75.57077698,OMR,W,0.03
San Joaquin River @ Mossdale Bridge - C7A,7/18/1996,774,73.33974661,SJRcorridor,W,0.31
